,open,close,high,low,volume,money
2011/3/10,3330.44,3280.26,3330.44,3279.33,7821264200,1.17953E+11
2011/3/11,3263.08,3247.38,3290.7,3240.18,6720833500,1.00306E+11
2011/3/14,3238.91,3262.92,3263.91,3230.11,6368978300,94134688007
2011/3/15,3250.59,3203.96,3250.59,3147.96,9603397900,1.29603E+11
2011/3/16,3204.92,3248.2,3250.88,3202.93,7885952000,1.11826E+11
2011/3/17,3216.29,3197.1,3240.38,3185.08,8568711400,1.17296E+11
2011/3/18,3228.91,3215.68,3239.96,3205.14,6134016100,86845200065
2011/3/21,3220.68,3207.11,3236.28,3194.14,5910503700,84105739105
2011/3/22,3217.8,3222.96,3227.8,3175.93,5724868400,80009792794
2011/3/23,3222.32,3264.93,3267,3216.65,7207758500,98540423659
2011/3/24,3269.57,3251.36,3273.37,3250.02,6130424400,88058905863
2011/3/25,3256.18,3294.48,3304.26,3254.68,8689597900,1.22021E+11
2011/3/28,3307.41,3290.57,3328.07,3286.86,9768430000,1.3903E+11
2011/3/29,3288.56,3257.98,3309.2,3256.34,10528016400,1.32908E+11
2011/3/30,3256.72,3256.08,3274.98,3233.11,7833633700,1.03272E+11
2011/3/31,3257.16,3223.29,3264.96,3210.17,6450388000,86565372662
2011/4/1,3227.56,3272.73,3272.77,3220.91,6309472200,86711549873
2011/4/6,3269.19,3311.07,3315.3,3268.76,10582367400,1.4303E+11
2011/4/7,3313.47,3324.42,3330.8,3302.82,8468176200,1.12679E+11
2011/4/8,3321.54,3353.36,3353.89,3314.09,7392921000,1.07329E+11
2011/4/11,3363.37,3333.43,3380.53,3331.17,10442054500,1.41974E+11
2011/4/12,3324.75,3326.77,3350.16,3307.48,10193850600,1.22864E+11
2011/4/13,3311.32,3372.03,3372.03,3296.51,8703633800,1.08305E+11
2011/4/14,3374.32,3353.56,3378.7,3347.49,8897224100,1.07491E+11
2011/4/15,3345.13,3358.94,3378.11,3323.56,7851487400,98934572633
2011/4/18,3346.15,3359.44,3372.9,3335.6,8658262400,1.07178E+11
2011/4/19,3334.91,3295.81,3334.91,3290.74,8510693300,1.04369E+11
2011/4/20,3300.42,3295.76,3311.72,3281.83,7234331800,93667138370
2011/4/21,3312.27,3317.37,3330.24,3301.94,7324042400,96739132646
2011/4/22,3317.08,3299.94,3325.46,3291.64,6717145500,83528333290
2011/4/25,3292.48,3249.57,3292.48,3247.69,7442182900,98455879623
2011/4/26,3242.53,3230.96,3257.8,3216.21,5909641700,76696858373
2011/4/27,3242.62,3209.5,3256.41,3189.04,6244356700,75111247063
2011/4/28,3224.41,3161.78,3237.19,3160.41,6505023500,79155830155
2011/4/29,3161.16,3192.72,3193.6,3147.14,5368306500,63455814284
2011/5/3,3192.84,3211.13,3212.05,3164.93,5499891000,64348987555
2011/5/4,3192.84,3129.03,3193.45,3120.96,6671634000,83567655304
2011/5/5,3115,3126.12,3136.9,3105.85,5256774700,63009373497
2011/5/6,3093.81,3121.4,3141.68,3083.91,5535218600,69747372718
2011/5/9,3126.26,3129.76,3149.94,3118.14,4602740400,57287412506
2011/5/10,3135.15,3153.22,3153.3,3121.75,4093299500,54931224820
2011/5/11,3153.65,3145.09,3164.65,3127.49,4768853300,59507719522
2011/5/12,3123.16,3101.6,3142.4,3101.14,4879950100,61703080348
2011/5/13,3105.3,3128.09,3128.44,3080.19,4689595100,57757204870
2011/5/16,3120.44,3100.46,3137.6,3098.78,4519431900,54238723382
2011/5/17,3097.07,3116.03,3136.23,3076.95,5120373100,65417943732
2011/5/18,3109.29,3139.38,3145.7,3106.55,3964176800,49757174173
2011/5/19,3148.35,3120.64,3154.93,3118.62,4311078200,52249679659
2011/5/20,3120.58,3121.6,3133.43,3113.27,3846801200,48967028428
2011/5/23,3115.31,3022.98,3115.31,3021.45,5590247200,66976426510
2011/5/24,3013.72,3026.22,3029.75,2999.89,4160894400,52971692396
2011/5/25,3020.32,2990.34,3030.99,2988.09,3928970400,48604397867
2011/5/26,3011.47,2978.38,3021.2,2977.6,3700374700,48346482355
2011/5/27,2980.72,2963.31,2996.61,2962.07,4277090500,52019994149
